age,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
33,1,2,no,882,no,no,1,39,1,151,3,0,no
42,0,1,no,-247,yes,yes,1,519,1,166,1,2,yes
33,1,1,no,3444,yes,no,1,144,1,91,4,0,yes
36,1,2,no,2415,yes,no,1,73,1,86,4,2,no
36,1,2,no,0,yes,no,1,140,1,143,3,0,yes
44,1,1,no,1324,yes,no,1,119,1,89,2,2,no
26,0,2,no,172,no,yes,1,21,1,140,4,2,no
51,0,1,no,3132,no,no,1,449,1,176,1,0,no
33,2,1,no,1005,yes,no,1,175,1,174,2,0,no
30,1,1,no,873,yes,no,1,119,1,167,3,1,no
30,0,2,no,1243,yes,no,1,86,1,174,1,0,no
44,1,2,no,1631,yes,no,0,81,1,195,2,0,no
51,2,2,no,119,no,no,0,200,1,165,2,0,no
51,1,1,no,58,yes,no,0,79,1,129,2,0,no
44,1,2,no,6203,yes,yes,0,58,1,188,1,0,no
34,0,1,no,105,yes,no,0,303,1,196,2,0,no
49,1,2,no,1533,no,no,0,324,1,172,1,0,no
47,1,2,no,228,yes,no,0,80,1,118,1,0,no
40,0,1,no,1623,yes,no,0,161,1,167,2,0,no
47,1,1,no,1484,no,no,0,297,1,119,3,0,no
38,1,2,no,494,no,no,0,146,1,104,2,2,no
54,0,1,no,198,yes,yes,0,120,1,171,2,0,no
52,1,2,no,1701,yes,yes,0,381,1,117,2,2,no
48,2,1,no,295,yes,no,0,123,1,164,2,1,no
45,1,1,no,1477,yes,no,0,75,1,132,1,0,no
39,1,1,no,401,yes,no,0,396,1,129,2,0,no
39,1,0,no,3324,no,no,0,96,1,131,1,0,no
37,1,2,yes,0,no,no,0,44,1,123,2,0,no
49,1,2,no,64,no,no,0,208,1,159,1,1,no
43,1,1,no,1865,yes,no,0,155,1,186,1,0,no
35,2,2,no,1718,yes,yes,0,74,1,167,16,2,no
50,1,1,no,633,no,yes,1,302,1,111,6,0,no
42,0,2,no,35,yes,yes,0,38,1,115,5,2,no
56,1,1,no,2749,yes,yes,0,38,1,172,2,0,no
51,1,2,no,209,no,no,0,130,1,111,2,0,no
50,0,1,no,246,yes,no,0,270,1,123,2,0,no
45,1,1,no,1415,yes,no,0,483,1,116,1,0,no
40,2,1,no,5766,yes,yes,0,68,2,173,1,0,no
30,1,2,no,101,yes,no,0,348,1,123,1,0,no
39,1,2,no,500,yes,no,0,257,1,178,2,2,no
36,1,2,no,5057,yes,no,0,70,1,166,10,0,no
34,1,2,no,1265,yes,no,0,118,1,164,3,0,no
59,1,2,no,0,no,no,0,90,2,110,2,0,no
53,1,1,no,1364,no,no,0,508,1,115,1,0,no
46,0,2,no,46,no,yes,0,80,1,152,1,0,no
52,1,1,no,5423,no,yes,0,93,1,115,1,0,no
56,2,1,no,689,yes,no,0,110,1,103,4,0,no
34,0,1,no,0,yes,no,0,214,1,174,2,0,no
32,0,1,no,4344,yes,no,0,79,2,118,3,0,no
59,2,1,no,514,yes,no,0,573,1,188,1,2,no
59,1,0,no,252,yes,yes,0,138,1,175,2,0,no
40,1,1,no,0,yes,no,0,74,2,196,1,0,no
43,2,1,no,-36,yes,no,0,190,1,104,1,0,no
43,1,1,no,0,no,yes,0,103,2,193,3,0,no
55,2,2,no,1730,no,no,0,89,2,118,3,0,no
49,1,1,no,202,yes,no,0,651,2,104,1,0,yes
49,1,2,no,313,yes,no,0,42,2,188,2,0,no
